Date,   Effort, Developers, Milestones
2019-02-16, 1, zl8615, CourseworkStructure
2019-02-16, 1, zl8615, ReadmeFramework
2019-02-19, 3, zl8615, BasicFileSturcture
2019-02-20, 2, zl8615, DefineInitialMilestones
2019-02-20, 4, ahs2117, Basic_CLexer
2019-02-20, 2, zl8615, Basic_CLexer
2019-02-21, 3, ahs2117, Basic_CLexer_Testing
2019-02-21, 2, zl8615, Basic_CParser
2019-02-22, 2, ahs2117, Basic_CParser_Testing
2019-02-22, 3, ahs2117, Intermidiate_CLexer
2019-02-22, 2, zl8615, Intermidiate_CParser
2019-02-23, 2, ahs2117, Intermidiate_CLexer_Testing
2019-02-23, 2, zl8615, Intermidiate_CParser
2019-02-23, 4, ahs2117, Intermidiate_CParser_Testing
2019-02-24, 3, ahs2117, Advance_CLexer
2019-02-24, 3, ahs2117, Advance_CParser
2019-02-25, 2, zl8615, Advance_CLexer
2019-02-26, 4, ahs2117, Advance_CParser_Testing
2019-02-26, 2, zl8615, Advance_CLexer_Testing
2019-02-27, 2, ahs2117, Basic_Translator
2019-02-27, 3, ahs2117, Basic_Translator_Testing
2019-02-01, 2, zl8615, Intermediate_Translator
2019-02-01, 2, ahs2117, Basic_CodeGen
2019-03-02, 3, zl8615, Intermediate_Translator_Testing
2019-03-02, 5, ahs2117, Basic_CodeGen_Testing
2019-03-07, 3, zl8615, Advance_Translator
2019-03-10, 4, ahs2117, Advance_Translator
2019-03-12, 2, zl8615, Advance_Translator_Testing
2019-03-12, 4, ahs2117, C_Formative_Passed 
2019-03-15, 8, ahs2117, Intermediate_CodeGen
2019-03-15, 6, zl8615, Intermediate_CodeGen
2019-03-18, 4, ahs2117, Intermediate_CodeGen_Testing
2019-03-18, 2, zl8615, Initial_Test_Deliverables 
2019-03-18, 6, ahs2117, Advance_CodeGen
2019-03-18, 2, zl8615, Advance_CodeGen_Testing
2019-03-20, 6, zl8615, Initial_TestBench
2019-03-20, 2, zl8615, TestBench_Extended cases
2019-03-21, 8, ahs2117, Advance_CodeGen_Testing
2019-03-21, 3, zl8615, Final_TestBench
